Designator,Footprint,Quantity,Value,Manufacturer,Partnumber,LCSC Part #
C1,C1210:C_1210_3225Metric,1,47µF ±20% 25V,Chinocera,HGC1210R5476M250NSVK,C7432791
C2,C0805:C_0805_2012Metric,1,100nF ±10% 50V,YAGEO,CC0805KRX7R9BB104,C49678
"C3, C5",C0805:C_0805_2012Metric,2,1µF ±10% 50V,Samsung,CL21B105KBFNNNE,C28323
C4,C0805:C_0805_2012Metric,1,10µF ±20% 25V,Samsung,CL21A106KAYNNNE,C15850
"D1, D2, D3, D4",LED0805:LED_0805_2012Metric,4,,Everlight,17-21SURC/S530-A3/4T,C2943978
D5,SMB:D_SMB,1,Vf {ℝ+}V If ℝ+A,Brightking,SMBJ12A/TR13,C111091
F1,FUSE_1206:Fuse_1206_3216Metric,1,It 1A,Littelfuse,0468001.NRHF,C45157
J1,"TERM_2P5008:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",1,,Ningbo Kangnex,WJ500V-5.08-2P,C8465
Q1,SOT23:SOT-23,1,Vgs ℝ+V Vds max 30V Id max 4.3A Ron 48mΩ,Alpha & Omega Semiconductor,AO3407A,C15155
Q2,SOT23:SOT-23,1,Vgs 1.75V Vds max 60V Id max 115mA Ron 7.5Ω,onsemi,2N7002LT1G,C16338
"R1, R2, R3, R4",R0805:R_0805_2012Metric,4,2.2kΩ ±1% 125mW 150V,Yageo,RC0805FR-072K2L,C114561
"R5, R7",R0805:R_0805_2012Metric,2,100kΩ ±1% 125mW 150V,Yageo,RC0805FR-07100KL,C96346
R6,R0805:R_0805_2012Metric,1,3.3kΩ ±1% 125mW 150V,Yageo,RC0805FR-073K3L,C114531
R8,R0805:R_0805_2012Metric,1,10kΩ ±1% 125mW 150V,Yageo,RC0805FR-0710KL,C84376
SW1,SW6MM:SW_PUSH_6mm,1,,Korean Hroparts Elec,K2-1102DP-C4SW-04,C110153
U1,SOT223:SOT-223-3_TabPin2,1,,Gainsil,GS2401C-33CTR3,C6283798
