Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47µF ±20%","C_1210_3225Metric",7.000000,13.000000,0.000000,top
"C2","100nF ±10%","C_0805_2012Metric",11.500000,13.000000,0.000000,top
"C3","1µF ±10%","C_0805_2012Metric",11.500000,6.000000,0.000000,top
"C4","10µF ±20%","C_0805_2012Metric",19.500000,8.000000,0.000000,top
"C5","1µF ±10%","C_0805_2012Metric",-6.000000,-17.000000,0.000000,top
"D1","","LED_0805_2012Metric",6.000000,-3.000000,0.000000,top
"D2","","LED_0805_2012Metric",6.000000,-7.000000,0.000000,top
"D3","","LED_0805_2012Metric",6.000000,-11.000000,0.000000,top
"D4","","LED_0805_2012Metric",6.000000,-15.000000,0.000000,top
"D5","Vf {ℝ+}V","D_SMB",0.300000,13.000000,0.000000,top
"F1","It 1A","Fuse_1206_3216Metric",-10.400000,13.000000,0.000000,top
"J1","","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",-21.500000,13.000000,0.000000,top
"Q1","Vgs ℝ+V","SOT-23",-5.800000,13.000000,0.000000,top
"Q2","Vgs 1.75V","SOT-23",-1.000000,-12.000000,0.000000,top
"R1","2.2kΩ ±1%","R_0805_2012Metric",12.000000,-3.000000,180.000000,top
"R2","2.2kΩ ±1%","R_0805_2012Metric",12.000000,-7.000000,180.000000,top
"R3","2.2kΩ ±1%","R_0805_2012Metric",12.000000,-11.000000,180.000000,top
"R4","2.2kΩ ±1%","R_0805_2012Metric",12.000000,-15.000000,180.000000,top
"R5","100kΩ ±1%","R_0805_2012Metric",-9.500000,17.000000,0.000000,top
"R6","3.3kΩ ±1%","R_0805_2012Metric",19.500000,5.000000,0.000000,top
"R7","100kΩ ±1%","R_0805_2012Metric",-6.000000,-14.000000,0.000000,top
"R8","10kΩ ±1%","R_0805_2012Metric",-11.000000,-10.500000,0.000000,top
"SW1","","SW_PUSH_6mm",-22.000000,-6.000000,0.000000,top
"U1","","SOT-223-3_TabPin2",18.500000,13.000000,0.000000,top
